case_id,profile,n,queries,runs,bench_mode,warmup_runs,hit_rate_pct,data_gap,data_gap_jitter,query_stride,threads,estimated_bytes,estimated_gib,ram_cap_pct,cap_bytes,mem_available_bytes,benchmark_csv,time_metrics_path,max_rss_kb,major_faults,minor_faults,elapsed,status
1,mem_n1000000_q1000000_h50_dense_g1_j0_s17_t16_mcold,1000000,1000000,3,cold,0,50,1,0,17,16,70400000,0.066,40,12123829043,30309572608,bench_results/memory_ramp_mixed_profiles_20260425T110159Z/1_mem_n1000000_q1000000_h50_dense_g1_j0_s17_t16_mcold.csv,bench_results/memory_ramp_mixed_profiles_20260425T110159Z/1_mem_n1000000_q1000000_h50_dense_g1_j0_s17_t16_mcold.time.txt,56920,0,21623,0:00.18,ok
2,mem_n1000000_q1000000_h50_dense_g1_j0_s17_t16_mwarm,1000000,1000000,3,warm,1,50,1,0,17,16,70400000,0.066,40,12123829043,30309572608,bench_results/memory_ramp_mixed_profiles_20260425T110159Z/2_mem_n1000000_q1000000_h50_dense_g1_j0_s17_t16_mwarm.csv,bench_results/memory_ramp_mixed_profiles_20260425T110159Z/2_mem_n1000000_q1000000_h50_dense_g1_j0_s17_t16_mwarm.time.txt,57020,0,25494,0:00.23,ok
3,mem_n1000000_q1000000_h50_jitter_g8_j8_s17_t16_mcold,1000000,1000000,3,cold,0,50,8,8,17,16,70400000,0.066,40,12123829043,30309572608,bench_results/memory_ramp_mixed_profiles_20260425T110159Z/3_mem_n1000000_q1000000_h50_jitter_g8_j8_s17_t16_mcold.csv,bench_results/memory_ramp_mixed_profiles_20260425T110159Z/3_mem_n1000000_q1000000_h50_jitter_g8_j8_s17_t16_mcold.time.txt,57068,0,21620,0:00.17,ok
4,mem_n1000000_q1000000_h50_jitter_g8_j8_s17_t16_mwarm,1000000,1000000,3,warm,1,50,8,8,17,16,70400000,0.066,40,12123829043,30309572608,bench_results/memory_ramp_mixed_profiles_20260425T110159Z/4_mem_n1000000_q1000000_h50_jitter_g8_j8_s17_t16_mwarm.csv,bench_results/memory_ramp_mixed_profiles_20260425T110159Z/4_mem_n1000000_q1000000_h50_jitter_g8_j8_s17_t16_mwarm.time.txt,57056,0,25497,0:00.22,ok
5,mem_n1000000_q1000000_h0_dense_g1_j0_s17_t16_mcold,1000000,1000000,3,cold,0,0,1,0,17,16,70400000,0.066,40,12123829043,30309572608,bench_results/memory_ramp_mixed_profiles_20260425T110159Z/5_mem_n1000000_q1000000_h0_dense_g1_j0_s17_t16_mcold.csv,bench_results/memory_ramp_mixed_profiles_20260425T110159Z/5_mem_n1000000_q1000000_h0_dense_g1_j0_s17_t16_mcold.time.txt,57244,0,21623,0:00.10,ok
6,mem_n1000000_q1000000_h0_dense_g1_j0_s17_t16_mwarm,1000000,1000000,3,warm,1,0,1,0,17,16,70400000,0.066,40,12123829043,30309572608,bench_results/memory_ramp_mixed_profiles_20260425T110159Z/6_mem_n1000000_q1000000_h0_dense_g1_j0_s17_t16_mwarm.csv,bench_results/memory_ramp_mixed_profiles_20260425T110159Z/6_mem_n1000000_q1000000_h0_dense_g1_j0_s17_t16_mwarm.time.txt,57284,0,25497,0:00.13,ok
7,mem_n1000000_q1000000_h0_jitter_g8_j8_s17_t16_mcold,1000000,1000000,3,cold,0,0,8,8,17,16,70400000,0.066,40,12123829043,30309572608,bench_results/memory_ramp_mixed_profiles_20260425T110159Z/7_mem_n1000000_q1000000_h0_jitter_g8_j8_s17_t16_mcold.csv,bench_results/memory_ramp_mixed_profiles_20260425T110159Z/7_mem_n1000000_q1000000_h0_jitter_g8_j8_s17_t16_mcold.time.txt,56784,0,21620,0:00.10,ok
8,mem_n1000000_q1000000_h0_jitter_g8_j8_s17_t16_mwarm,1000000,1000000,3,warm,1,0,8,8,17,16,70400000,0.066,40,12123829043,30309572608,bench_results/memory_ramp_mixed_profiles_20260425T110159Z/8_mem_n1000000_q1000000_h0_jitter_g8_j8_s17_t16_mwarm.csv,bench_results/memory_ramp_mixed_profiles_20260425T110159Z/8_mem_n1000000_q1000000_h0_jitter_g8_j8_s17_t16_mwarm.time.txt,57232,0,25499,0:00.13,ok
9,mem_n8000000_q1000000_h50_dense_g1_j0_s17_t16_mcold,8000000,1000000,3,cold,0,50,1,0,17,16,132000000,0.123,40,12123829043,30309572608,bench_results/memory_ramp_mixed_profiles_20260425T110159Z/9_mem_n8000000_q1000000_h50_dense_g1_j0_s17_t16_mcold.csv,bench_results/memory_ramp_mixed_profiles_20260425T110159Z/9_mem_n8000000_q1000000_h50_dense_g1_j0_s17_t16_mcold.time.txt,111824,0,35297,0:00.23,ok
10,mem_n8000000_q1000000_h50_dense_g1_j0_s17_t16_mwarm,8000000,1000000,3,warm,1,50,1,0,17,16,132000000,0.123,40,12123829043,30309572608,bench_results/memory_ramp_mixed_profiles_20260425T110159Z/10_mem_n8000000_q1000000_h50_dense_g1_j0_s17_t16_mwarm.csv,bench_results/memory_ramp_mixed_profiles_20260425T110159Z/10_mem_n8000000_q1000000_h50_dense_g1_j0_s17_t16_mwarm.time.txt,111704,0,39170,0:00.31,ok
11,mem_n8000000_q1000000_h50_jitter_g8_j8_s17_t16_mcold,8000000,1000000,3,cold,0,50,8,8,17,16,132000000,0.123,40,12123829043,30309572608,bench_results/memory_ramp_mixed_profiles_20260425T110159Z/11_mem_n8000000_q1000000_h50_jitter_g8_j8_s17_t16_mcold.csv,bench_results/memory_ramp_mixed_profiles_20260425T110159Z/11_mem_n8000000_q1000000_h50_jitter_g8_j8_s17_t16_mcold.time.txt,111680,0,35294,0:00.25,ok
12,mem_n8000000_q1000000_h50_jitter_g8_j8_s17_t16_mwarm,8000000,1000000,3,warm,1,50,8,8,17,16,132000000,0.123,40,12123829043,30309572608,bench_results/memory_ramp_mixed_profiles_20260425T110159Z/12_mem_n8000000_q1000000_h50_jitter_g8_j8_s17_t16_mwarm.csv,bench_results/memory_ramp_mixed_profiles_20260425T110159Z/12_mem_n8000000_q1000000_h50_jitter_g8_j8_s17_t16_mwarm.time.txt,111772,0,39167,0:00.31,ok
13,mem_n8000000_q1000000_h0_dense_g1_j0_s17_t16_mcold,8000000,1000000,3,cold,0,0,1,0,17,16,132000000,0.123,40,12123829043,30309572608,bench_results/memory_ramp_mixed_profiles_20260425T110159Z/13_mem_n8000000_q1000000_h0_dense_g1_j0_s17_t16_mcold.csv,bench_results/memory_ramp_mixed_profiles_20260425T110159Z/13_mem_n8000000_q1000000_h0_dense_g1_j0_s17_t16_mcold.time.txt,111336,0,35292,0:00.13,ok
14,mem_n8000000_q1000000_h0_dense_g1_j0_s17_t16_mwarm,8000000,1000000,3,warm,1,0,1,0,17,16,132000000,0.123,40,12123829043,30309572608,bench_results/memory_ramp_mixed_profiles_20260425T110159Z/14_mem_n8000000_q1000000_h0_dense_g1_j0_s17_t16_mwarm.csv,bench_results/memory_ramp_mixed_profiles_20260425T110159Z/14_mem_n8000000_q1000000_h0_dense_g1_j0_s17_t16_mwarm.time.txt,111884,0,39170,0:00.17,ok
15,mem_n8000000_q1000000_h0_jitter_g8_j8_s17_t16_mcold,8000000,1000000,3,cold,0,0,8,8,17,16,132000000,0.123,40,12123829043,30309572608,bench_results/memory_ramp_mixed_profiles_20260425T110159Z/15_mem_n8000000_q1000000_h0_jitter_g8_j8_s17_t16_mcold.csv,bench_results/memory_ramp_mixed_profiles_20260425T110159Z/15_mem_n8000000_q1000000_h0_jitter_g8_j8_s17_t16_mcold.time.txt,111664,0,35294,0:00.13,ok
16,mem_n8000000_q1000000_h0_jitter_g8_j8_s17_t16_mwarm,8000000,1000000,3,warm,1,0,8,8,17,16,132000000,0.123,40,12123829043,30309572608,bench_results/memory_ramp_mixed_profiles_20260425T110159Z/16_mem_n8000000_q1000000_h0_jitter_g8_j8_s17_t16_mwarm.csv,bench_results/memory_ramp_mixed_profiles_20260425T110159Z/16_mem_n8000000_q1000000_h0_jitter_g8_j8_s17_t16_mwarm.time.txt,111380,0,39170,0:00.17,ok
17,mem_n32000000_q1000000_h50_dense_g1_j0_s17_t16_mcold,32000000,1000000,3,cold,0,50,1,0,17,16,343200000,0.320,40,12123829043,30309572608,bench_results/memory_ramp_mixed_profiles_20260425T110159Z/17_mem_n32000000_q1000000_h50_dense_g1_j0_s17_t16_mcold.csv,bench_results/memory_ramp_mixed_profiles_20260425T110159Z/17_mem_n32000000_q1000000_h50_dense_g1_j0_s17_t16_mcold.time.txt,299056,0,82167,0:00.33,ok
18,mem_n32000000_q1000000_h50_dense_g1_j0_s17_t16_mwarm,32000000,1000000,3,warm,1,50,1,0,17,16,343200000,0.320,40,12123829043,30309572608,bench_results/memory_ramp_mixed_profiles_20260425T110159Z/18_mem_n32000000_q1000000_h50_dense_g1_j0_s17_t16_mwarm.csv,bench_results/memory_ramp_mixed_profiles_20260425T110159Z/18_mem_n32000000_q1000000_h50_dense_g1_j0_s17_t16_mwarm.time.txt,299080,0,86040,0:00.40,ok
19,mem_n32000000_q1000000_h50_jitter_g8_j8_s17_t16_mcold,32000000,1000000,3,cold,0,50,8,8,17,16,343200000,0.320,40,12123829043,30309572608,bench_results/memory_ramp_mixed_profiles_20260425T110159Z/19_mem_n32000000_q1000000_h50_jitter_g8_j8_s17_t16_mcold.csv,bench_results/memory_ramp_mixed_profiles_20260425T110159Z/19_mem_n32000000_q1000000_h50_jitter_g8_j8_s17_t16_mcold.time.txt,299464,0,82170,0:00.34,ok
20,mem_n32000000_q1000000_h50_jitter_g8_j8_s17_t16_mwarm,32000000,1000000,3,warm,1,50,8,8,17,16,343200000,0.320,40,12123829043,30309572608,bench_results/memory_ramp_mixed_profiles_20260425T110159Z/20_mem_n32000000_q1000000_h50_jitter_g8_j8_s17_t16_mwarm.csv,bench_results/memory_ramp_mixed_profiles_20260425T110159Z/20_mem_n32000000_q1000000_h50_jitter_g8_j8_s17_t16_mwarm.time.txt,298868,0,86044,0:00.43,ok
21,mem_n32000000_q1000000_h0_dense_g1_j0_s17_t16_mcold,32000000,1000000,3,cold,0,0,1,0,17,16,343200000,0.320,40,12123829043,30309572608,bench_results/memory_ramp_mixed_profiles_20260425T110159Z/21_mem_n32000000_q1000000_h0_dense_g1_j0_s17_t16_mcold.csv,bench_results/memory_ramp_mixed_profiles_20260425T110159Z/21_mem_n32000000_q1000000_h0_dense_g1_j0_s17_t16_mcold.time.txt,299064,0,82171,0:00.23,ok
