case_id,profile,n,queries,runs,bench_mode,warmup_runs,hit_rate_pct,data_gap,data_gap_jitter,query_stride,threads,estimated_bytes,estimated_gib,ram_cap_pct,cap_bytes,mem_available_bytes,benchmark_csv,time_metrics_path,max_rss_kb,major_faults,minor_faults,elapsed,status
1,mem_n1000000_q1000000_h0_dense_g1_j0_s17_t16_mcold,1000000,1000000,3,cold,0,0,1,0,17,16,70400000,0.066,40,11699943833,29249859584,bench_results/memory_ramp_out_of_range_route_20260425T110427Z/1_mem_n1000000_q1000000_h0_dense_g1_j0_s17_t16_mcold.csv,bench_results/memory_ramp_out_of_range_route_20260425T110427Z/1_mem_n1000000_q1000000_h0_dense_g1_j0_s17_t16_mcold.time.txt,57240,0,21621,0:00.11,ok
2,mem_n1000000_q1000000_h0_dense_g1_j0_s17_t16_mwarm,1000000,1000000,3,warm,1,0,1,0,17,16,70400000,0.066,40,11699943833,29249859584,bench_results/memory_ramp_out_of_range_route_20260425T110427Z/2_mem_n1000000_q1000000_h0_dense_g1_j0_s17_t16_mwarm.csv,bench_results/memory_ramp_out_of_range_route_20260425T110427Z/2_mem_n1000000_q1000000_h0_dense_g1_j0_s17_t16_mwarm.time.txt,57056,0,25502,0:00.15,ok
3,mem_n1000000_q1000000_h0_jitter_g8_j8_s17_t16_mcold,1000000,1000000,3,cold,0,0,8,8,17,16,70400000,0.066,40,11699943833,29249859584,bench_results/memory_ramp_out_of_range_route_20260425T110427Z/3_mem_n1000000_q1000000_h0_jitter_g8_j8_s17_t16_mcold.csv,bench_results/memory_ramp_out_of_range_route_20260425T110427Z/3_mem_n1000000_q1000000_h0_jitter_g8_j8_s17_t16_mcold.time.txt,56872,0,21624,0:00.11,ok
4,mem_n1000000_q1000000_h0_jitter_g8_j8_s17_t16_mwarm,1000000,1000000,3,warm,1,0,8,8,17,16,70400000,0.066,40,11699943833,29249859584,bench_results/memory_ramp_out_of_range_route_20260425T110427Z/4_mem_n1000000_q1000000_h0_jitter_g8_j8_s17_t16_mwarm.csv,bench_results/memory_ramp_out_of_range_route_20260425T110427Z/4_mem_n1000000_q1000000_h0_jitter_g8_j8_s17_t16_mwarm.time.txt,56668,0,25495,0:00.14,ok
5,mem_n8000000_q1000000_h0_dense_g1_j0_s17_t16_mcold,8000000,1000000,3,cold,0,0,1,0,17,16,132000000,0.123,40,11699943833,29249859584,bench_results/memory_ramp_out_of_range_route_20260425T110427Z/5_mem_n8000000_q1000000_h0_dense_g1_j0_s17_t16_mcold.csv,bench_results/memory_ramp_out_of_range_route_20260425T110427Z/5_mem_n8000000_q1000000_h0_dense_g1_j0_s17_t16_mcold.time.txt,111612,0,35291,0:00.14,ok
6,mem_n8000000_q1000000_h0_dense_g1_j0_s17_t16_mwarm,8000000,1000000,3,warm,1,0,1,0,17,16,132000000,0.123,40,11699943833,29249859584,bench_results/memory_ramp_out_of_range_route_20260425T110427Z/6_mem_n8000000_q1000000_h0_dense_g1_j0_s17_t16_mwarm.csv,bench_results/memory_ramp_out_of_range_route_20260425T110427Z/6_mem_n8000000_q1000000_h0_dense_g1_j0_s17_t16_mwarm.time.txt,111792,0,39173,0:00.17,ok
7,mem_n8000000_q1000000_h0_jitter_g8_j8_s17_t16_mcold,8000000,1000000,3,cold,0,0,8,8,17,16,132000000,0.123,40,11699943833,29249859584,bench_results/memory_ramp_out_of_range_route_20260425T110427Z/7_mem_n8000000_q1000000_h0_jitter_g8_j8_s17_t16_mcold.csv,bench_results/memory_ramp_out_of_range_route_20260425T110427Z/7_mem_n8000000_q1000000_h0_jitter_g8_j8_s17_t16_mcold.time.txt,111728,0,35298,0:00.14,ok
8,mem_n8000000_q1000000_h0_jitter_g8_j8_s17_t16_mwarm,8000000,1000000,3,warm,1,0,8,8,17,16,132000000,0.123,40,11699943833,29249859584,bench_results/memory_ramp_out_of_range_route_20260425T110427Z/8_mem_n8000000_q1000000_h0_jitter_g8_j8_s17_t16_mwarm.csv,bench_results/memory_ramp_out_of_range_route_20260425T110427Z/8_mem_n8000000_q1000000_h0_jitter_g8_j8_s17_t16_mwarm.time.txt,111796,0,39168,0:00.18,ok
9,mem_n32000000_q1000000_h0_dense_g1_j0_s17_t16_mcold,32000000,1000000,3,cold,0,0,1,0,17,16,343200000,0.320,40,11699943833,29249859584,bench_results/memory_ramp_out_of_range_route_20260425T110427Z/9_mem_n32000000_q1000000_h0_dense_g1_j0_s17_t16_mcold.csv,bench_results/memory_ramp_out_of_range_route_20260425T110427Z/9_mem_n32000000_q1000000_h0_dense_g1_j0_s17_t16_mcold.time.txt,299232,0,82170,0:00.24,ok
10,mem_n32000000_q1000000_h0_dense_g1_j0_s17_t16_mwarm,32000000,1000000,3,warm,1,0,1,0,17,16,343200000,0.320,40,11699943833,29249859584,bench_results/memory_ramp_out_of_range_route_20260425T110427Z/10_mem_n32000000_q1000000_h0_dense_g1_j0_s17_t16_mwarm.csv,bench_results/memory_ramp_out_of_range_route_20260425T110427Z/10_mem_n32000000_q1000000_h0_dense_g1_j0_s17_t16_mwarm.time.txt,299468,0,86043,0:00.27,ok
11,mem_n32000000_q1000000_h0_jitter_g8_j8_s17_t16_mcold,32000000,1000000,3,cold,0,0,8,8,17,16,343200000,0.320,40,11699943833,29249859584,bench_results/memory_ramp_out_of_range_route_20260425T110427Z/11_mem_n32000000_q1000000_h0_jitter_g8_j8_s17_t16_mcold.csv,bench_results/memory_ramp_out_of_range_route_20260425T110427Z/11_mem_n32000000_q1000000_h0_jitter_g8_j8_s17_t16_mcold.time.txt,299416,0,82171,0:00.26,ok
