case_id,profile,n,queries,runs,bench_mode,warmup_runs,hit_rate_pct,data_gap,data_gap_jitter,query_stride,threads,estimated_bytes,estimated_gib,ram_cap_pct,cap_bytes,mem_available_bytes,benchmark_csv,time_metrics_path,max_rss_kb,major_faults,minor_faults,elapsed,status
1,mem_n1000000_q1000000_h0_dense_g1_j0_s17_t16_mcold,1000000,1000000,3,cold,0,0,1,0,17,16,70400000,0.066,40,11959510630,29898776576,bench_results/memory_ramp_out_of_range_sampled_20260425T110555Z/1_mem_n1000000_q1000000_h0_dense_g1_j0_s17_t16_mcold.csv,bench_results/memory_ramp_out_of_range_sampled_20260425T110555Z/1_mem_n1000000_q1000000_h0_dense_g1_j0_s17_t16_mcold.time.txt,56876,0,21620,0:00.10,ok
2,mem_n1000000_q1000000_h0_dense_g1_j0_s17_t16_mwarm,1000000,1000000,3,warm,1,0,1,0,17,16,70400000,0.066,40,11959510630,29898776576,bench_results/memory_ramp_out_of_range_sampled_20260425T110555Z/2_mem_n1000000_q1000000_h0_dense_g1_j0_s17_t16_mwarm.csv,bench_results/memory_ramp_out_of_range_sampled_20260425T110555Z/2_mem_n1000000_q1000000_h0_dense_g1_j0_s17_t16_mwarm.time.txt,56928,0,25499,0:00.13,ok
3,mem_n1000000_q1000000_h0_jitter_g8_j8_s17_t16_mcold,1000000,1000000,3,cold,0,0,8,8,17,16,70400000,0.066,40,11959510630,29898776576,bench_results/memory_ramp_out_of_range_sampled_20260425T110555Z/3_mem_n1000000_q1000000_h0_jitter_g8_j8_s17_t16_mcold.csv,bench_results/memory_ramp_out_of_range_sampled_20260425T110555Z/3_mem_n1000000_q1000000_h0_jitter_g8_j8_s17_t16_mcold.time.txt,57108,0,21620,0:00.11,ok
4,mem_n1000000_q1000000_h0_jitter_g8_j8_s17_t16_mwarm,1000000,1000000,3,warm,1,0,8,8,17,16,70400000,0.066,40,11959510630,29898776576,bench_results/memory_ramp_out_of_range_sampled_20260425T110555Z/4_mem_n1000000_q1000000_h0_jitter_g8_j8_s17_t16_mwarm.csv,bench_results/memory_ramp_out_of_range_sampled_20260425T110555Z/4_mem_n1000000_q1000000_h0_jitter_g8_j8_s17_t16_mwarm.time.txt,57124,0,25497,0:00.14,ok
5,mem_n8000000_q1000000_h0_dense_g1_j0_s17_t16_mcold,8000000,1000000,3,cold,0,0,1,0,17,16,132000000,0.123,40,11959510630,29898776576,bench_results/memory_ramp_out_of_range_sampled_20260425T110555Z/5_mem_n8000000_q1000000_h0_dense_g1_j0_s17_t16_mcold.csv,bench_results/memory_ramp_out_of_range_sampled_20260425T110555Z/5_mem_n8000000_q1000000_h0_dense_g1_j0_s17_t16_mcold.time.txt,111784,0,35294,0:00.13,ok
6,mem_n8000000_q1000000_h0_dense_g1_j0_s17_t16_mwarm,8000000,1000000,3,warm,1,0,1,0,17,16,132000000,0.123,40,11959510630,29898776576,bench_results/memory_ramp_out_of_range_sampled_20260425T110555Z/6_mem_n8000000_q1000000_h0_dense_g1_j0_s17_t16_mwarm.csv,bench_results/memory_ramp_out_of_range_sampled_20260425T110555Z/6_mem_n8000000_q1000000_h0_dense_g1_j0_s17_t16_mwarm.time.txt,111732,0,39171,0:00.17,ok
7,mem_n8000000_q1000000_h0_jitter_g8_j8_s17_t16_mcold,8000000,1000000,3,cold,0,0,8,8,17,16,132000000,0.123,40,11959510630,29898776576,bench_results/memory_ramp_out_of_range_sampled_20260425T110555Z/7_mem_n8000000_q1000000_h0_jitter_g8_j8_s17_t16_mcold.csv,bench_results/memory_ramp_out_of_range_sampled_20260425T110555Z/7_mem_n8000000_q1000000_h0_jitter_g8_j8_s17_t16_mcold.time.txt,111680,0,35296,0:00.14,ok
8,mem_n8000000_q1000000_h0_jitter_g8_j8_s17_t16_mwarm,8000000,1000000,3,warm,1,0,8,8,17,16,132000000,0.123,40,11959510630,29898776576,bench_results/memory_ramp_out_of_range_sampled_20260425T110555Z/8_mem_n8000000_q1000000_h0_jitter_g8_j8_s17_t16_mwarm.csv,bench_results/memory_ramp_out_of_range_sampled_20260425T110555Z/8_mem_n8000000_q1000000_h0_jitter_g8_j8_s17_t16_mwarm.time.txt,111792,0,39174,0:00.17,ok
9,mem_n32000000_q1000000_h0_dense_g1_j0_s17_t16_mcold,32000000,1000000,3,cold,0,0,1,0,17,16,343200000,0.320,40,11959510630,29898776576,bench_results/memory_ramp_out_of_range_sampled_20260425T110555Z/9_mem_n32000000_q1000000_h0_dense_g1_j0_s17_t16_mcold.csv,bench_results/memory_ramp_out_of_range_sampled_20260425T110555Z/9_mem_n32000000_q1000000_h0_dense_g1_j0_s17_t16_mcold.time.txt,299036,0,82167,0:00.23,ok
10,mem_n32000000_q1000000_h0_dense_g1_j0_s17_t16_mwarm,32000000,1000000,3,warm,1,0,1,0,17,16,343200000,0.320,40,11959510630,29898776576,bench_results/memory_ramp_out_of_range_sampled_20260425T110555Z/10_mem_n32000000_q1000000_h0_dense_g1_j0_s17_t16_mwarm.csv,bench_results/memory_ramp_out_of_range_sampled_20260425T110555Z/10_mem_n32000000_q1000000_h0_dense_g1_j0_s17_t16_mwarm.time.txt,299380,0,86043,0:00.27,ok
