case_id,profile,n,queries,runs,bench_mode,warmup_runs,hit_rate_pct,data_gap,data_gap_jitter,query_stride,threads,estimated_bytes,estimated_gib,ram_cap_pct,cap_bytes,mem_available_bytes,benchmark_csv,time_metrics_path,max_rss_kb,major_faults,minor_faults,elapsed,status
1,mem_n1000000_q1000000_h50_dense_g1_j0_s1_t16_mcold,1000000,1000000,3,cold,0,50,1,0,1,16,70400000,0.066,80,23013992038,28767490048,bench_results/roadmap_mixed_profiles_20260425T111019Z/1_mem_n1000000_q1000000_h50_dense_g1_j0_s1_t16_mcold.csv,bench_results/roadmap_mixed_profiles_20260425T111019Z/1_mem_n1000000_q1000000_h50_dense_g1_j0_s1_t16_mcold.time.txt,56748,0,21620,0:00.15,ok
2,mem_n1000000_q1000000_h50_dense_g1_j0_s1_t16_mwarm,1000000,1000000,3,warm,1,50,1,0,1,16,70400000,0.066,80,23013992038,28767490048,bench_results/roadmap_mixed_profiles_20260425T111019Z/2_mem_n1000000_q1000000_h50_dense_g1_j0_s1_t16_mwarm.csv,bench_results/roadmap_mixed_profiles_20260425T111019Z/2_mem_n1000000_q1000000_h50_dense_g1_j0_s1_t16_mwarm.time.txt,57060,0,25497,0:00.19,ok
3,mem_n1000000_q1000000_h50_dense_g1_j0_s17_t16_mcold,1000000,1000000,3,cold,0,50,1,0,17,16,70400000,0.066,80,23013992038,28767490048,bench_results/roadmap_mixed_profiles_20260425T111019Z/3_mem_n1000000_q1000000_h50_dense_g1_j0_s17_t16_mcold.csv,bench_results/roadmap_mixed_profiles_20260425T111019Z/3_mem_n1000000_q1000000_h50_dense_g1_j0_s17_t16_mcold.time.txt,56884,0,21625,0:00.18,ok
4,mem_n1000000_q1000000_h50_dense_g1_j0_s17_t16_mwarm,1000000,1000000,3,warm,1,50,1,0,17,16,70400000,0.066,80,23013992038,28767490048,bench_results/roadmap_mixed_profiles_20260425T111019Z/4_mem_n1000000_q1000000_h50_dense_g1_j0_s17_t16_mwarm.csv,bench_results/roadmap_mixed_profiles_20260425T111019Z/4_mem_n1000000_q1000000_h50_dense_g1_j0_s17_t16_mwarm.time.txt,57188,0,25496,0:00.23,ok
5,mem_n1000000_q1000000_h50_jitter_g8_j8_s1_t16_mcold,1000000,1000000,3,cold,0,50,8,8,1,16,70400000,0.066,80,23013992038,28767490048,bench_results/roadmap_mixed_profiles_20260425T111019Z/5_mem_n1000000_q1000000_h50_jitter_g8_j8_s1_t16_mcold.csv,bench_results/roadmap_mixed_profiles_20260425T111019Z/5_mem_n1000000_q1000000_h50_jitter_g8_j8_s1_t16_mcold.time.txt,57364,0,21623,0:00.14,ok
6,mem_n1000000_q1000000_h50_jitter_g8_j8_s1_t16_mwarm,1000000,1000000,3,warm,1,50,8,8,1,16,70400000,0.066,80,23013992038,28767490048,bench_results/roadmap_mixed_profiles_20260425T111019Z/6_mem_n1000000_q1000000_h50_jitter_g8_j8_s1_t16_mwarm.csv,bench_results/roadmap_mixed_profiles_20260425T111019Z/6_mem_n1000000_q1000000_h50_jitter_g8_j8_s1_t16_mwarm.time.txt,56608,0,25496,0:00.20,ok
7,mem_n1000000_q1000000_h50_jitter_g8_j8_s17_t16_mcold,1000000,1000000,3,cold,0,50,8,8,17,16,70400000,0.066,80,23013992038,28767490048,bench_results/roadmap_mixed_profiles_20260425T111019Z/7_mem_n1000000_q1000000_h50_jitter_g8_j8_s17_t16_mcold.csv,bench_results/roadmap_mixed_profiles_20260425T111019Z/7_mem_n1000000_q1000000_h50_jitter_g8_j8_s17_t16_mcold.time.txt,57240,0,21623,0:00.18,ok
8,mem_n1000000_q1000000_h50_jitter_g8_j8_s17_t16_mwarm,1000000,1000000,3,warm,1,50,8,8,17,16,70400000,0.066,80,23013992038,28767490048,bench_results/roadmap_mixed_profiles_20260425T111019Z/8_mem_n1000000_q1000000_h50_jitter_g8_j8_s17_t16_mwarm.csv,bench_results/roadmap_mixed_profiles_20260425T111019Z/8_mem_n1000000_q1000000_h50_jitter_g8_j8_s17_t16_mwarm.time.txt,57104,0,25501,0:00.23,ok
9,mem_n1000000_q1000000_h0_dense_g1_j0_s1_t16_mcold,1000000,1000000,3,cold,0,0,1,0,1,16,70400000,0.066,80,23013992038,28767490048,bench_results/roadmap_mixed_profiles_20260425T111019Z/9_mem_n1000000_q1000000_h0_dense_g1_j0_s1_t16_mcold.csv,bench_results/roadmap_mixed_profiles_20260425T111019Z/9_mem_n1000000_q1000000_h0_dense_g1_j0_s1_t16_mcold.time.txt,57232,0,21625,0:00.09,ok
10,mem_n1000000_q1000000_h0_dense_g1_j0_s1_t16_mwarm,1000000,1000000,3,warm,1,0,1,0,1,16,70400000,0.066,80,23013992038,28767490048,bench_results/roadmap_mixed_profiles_20260425T111019Z/10_mem_n1000000_q1000000_h0_dense_g1_j0_s1_t16_mwarm.csv,bench_results/roadmap_mixed_profiles_20260425T111019Z/10_mem_n1000000_q1000000_h0_dense_g1_j0_s1_t16_mwarm.time.txt,57060,0,25497,0:00.13,ok
11,mem_n1000000_q1000000_h0_dense_g1_j0_s17_t16_mcold,1000000,1000000,3,cold,0,0,1,0,17,16,70400000,0.066,80,23013992038,28767490048,bench_results/roadmap_mixed_profiles_20260425T111019Z/11_mem_n1000000_q1000000_h0_dense_g1_j0_s17_t16_mcold.csv,bench_results/roadmap_mixed_profiles_20260425T111019Z/11_mem_n1000000_q1000000_h0_dense_g1_j0_s17_t16_mcold.time.txt,56864,0,21623,0:00.10,ok
12,mem_n1000000_q1000000_h0_dense_g1_j0_s17_t16_mwarm,1000000,1000000,3,warm,1,0,1,0,17,16,70400000,0.066,80,23013992038,28767490048,bench_results/roadmap_mixed_profiles_20260425T111019Z/12_mem_n1000000_q1000000_h0_dense_g1_j0_s17_t16_mwarm.csv,bench_results/roadmap_mixed_profiles_20260425T111019Z/12_mem_n1000000_q1000000_h0_dense_g1_j0_s17_t16_mwarm.time.txt,57172,0,25497,0:00.12,ok
13,mem_n1000000_q1000000_h0_jitter_g8_j8_s1_t16_mcold,1000000,1000000,3,cold,0,0,8,8,1,16,70400000,0.066,80,23013992038,28767490048,bench_results/roadmap_mixed_profiles_20260425T111019Z/13_mem_n1000000_q1000000_h0_jitter_g8_j8_s1_t16_mcold.csv,bench_results/roadmap_mixed_profiles_20260425T111019Z/13_mem_n1000000_q1000000_h0_jitter_g8_j8_s1_t16_mcold.time.txt,56752,0,21622,0:00.10,ok
