case_id,profile,n,queries,runs,bench_mode,warmup_runs,hit_rate_pct,data_gap,data_gap_jitter,query_stride,threads,estimated_bytes,estimated_gib,ram_cap_pct,cap_bytes,mem_available_bytes,benchmark_csv,time_metrics_path,max_rss_kb,major_faults,minor_faults,elapsed,status
1,mem_n1000000_q1000000_h50_dense_g1_j0_s1_t1_mcold,1000000,1000000,3,cold,0,50,1,0,1,1,70400000,0.066,80,24847482880,31059353600,bench_results/threadmix_sweep1_20260425T111354Z/1_mem_n1000000_q1000000_h50_dense_g1_j0_s1_t1_mcold.csv,bench_results/threadmix_sweep1_20260425T111354Z/1_mem_n1000000_q1000000_h50_dense_g1_j0_s1_t1_mcold.time.txt,57152,0,21575,0:00.28,ok
2,mem_n1000000_q1000000_h50_dense_g1_j0_s1_t1_mwarm,1000000,1000000,3,warm,1,50,1,0,1,1,70400000,0.066,80,24847482880,31059353600,bench_results/threadmix_sweep1_20260425T111354Z/2_mem_n1000000_q1000000_h50_dense_g1_j0_s1_t1_mwarm.csv,bench_results/threadmix_sweep1_20260425T111354Z/2_mem_n1000000_q1000000_h50_dense_g1_j0_s1_t1_mwarm.time.txt,56956,0,25450,0:00.36,ok
3,mem_n1000000_q1000000_h50_dense_g1_j0_s17_t1_mcold,1000000,1000000,3,cold,0,50,1,0,17,1,70400000,0.066,80,24847482880,31059353600,bench_results/threadmix_sweep1_20260425T111354Z/3_mem_n1000000_q1000000_h50_dense_g1_j0_s17_t1_mcold.csv,bench_results/threadmix_sweep1_20260425T111354Z/3_mem_n1000000_q1000000_h50_dense_g1_j0_s17_t1_mcold.time.txt,56928,0,21573,0:00.36,ok
4,mem_n1000000_q1000000_h50_dense_g1_j0_s17_t1_mwarm,1000000,1000000,3,warm,1,50,1,0,17,1,70400000,0.066,80,24847482880,31059353600,bench_results/threadmix_sweep1_20260425T111354Z/4_mem_n1000000_q1000000_h50_dense_g1_j0_s17_t1_mwarm.csv,bench_results/threadmix_sweep1_20260425T111354Z/4_mem_n1000000_q1000000_h50_dense_g1_j0_s17_t1_mwarm.time.txt,56732,0,25448,0:00.47,ok
5,mem_n1000000_q1000000_h50_jitter_g8_j8_s1_t1_mcold,1000000,1000000,3,cold,0,50,8,8,1,1,70400000,0.066,80,24847482880,31059353600,bench_results/threadmix_sweep1_20260425T111354Z/5_mem_n1000000_q1000000_h50_jitter_g8_j8_s1_t1_mcold.csv,bench_results/threadmix_sweep1_20260425T111354Z/5_mem_n1000000_q1000000_h50_jitter_g8_j8_s1_t1_mcold.time.txt,57236,0,21576,0:00.27,ok
6,mem_n1000000_q1000000_h50_jitter_g8_j8_s1_t1_mwarm,1000000,1000000,3,warm,1,50,8,8,1,1,70400000,0.066,80,24847482880,31059353600,bench_results/threadmix_sweep1_20260425T111354Z/6_mem_n1000000_q1000000_h50_jitter_g8_j8_s1_t1_mwarm.csv,bench_results/threadmix_sweep1_20260425T111354Z/6_mem_n1000000_q1000000_h50_jitter_g8_j8_s1_t1_mwarm.time.txt,57024,0,25451,0:00.36,ok
7,mem_n1000000_q1000000_h50_jitter_g8_j8_s17_t1_mcold,1000000,1000000,3,cold,0,50,8,8,17,1,70400000,0.066,80,24847482880,31059353600,bench_results/threadmix_sweep1_20260425T111354Z/7_mem_n1000000_q1000000_h50_jitter_g8_j8_s17_t1_mcold.csv,bench_results/threadmix_sweep1_20260425T111354Z/7_mem_n1000000_q1000000_h50_jitter_g8_j8_s17_t1_mcold.time.txt,56560,0,21577,0:00.36,ok
8,mem_n1000000_q1000000_h50_jitter_g8_j8_s17_t1_mwarm,1000000,1000000,3,warm,1,50,8,8,17,1,70400000,0.066,80,24847482880,31059353600,bench_results/threadmix_sweep1_20260425T111354Z/8_mem_n1000000_q1000000_h50_jitter_g8_j8_s17_t1_mwarm.csv,bench_results/threadmix_sweep1_20260425T111354Z/8_mem_n1000000_q1000000_h50_jitter_g8_j8_s17_t1_mwarm.time.txt,56944,0,25451,0:00.48,ok
9,mem_n1000000_q1000000_h0_dense_g1_j0_s1_t1_mcold,1000000,1000000,3,cold,0,0,1,0,1,1,70400000,0.066,80,24847482880,31059353600,bench_results/threadmix_sweep1_20260425T111354Z/9_mem_n1000000_q1000000_h0_dense_g1_j0_s1_t1_mcold.csv,bench_results/threadmix_sweep1_20260425T111354Z/9_mem_n1000000_q1000000_h0_dense_g1_j0_s1_t1_mcold.time.txt,56864,0,21577,0:00.17,ok
10,mem_n1000000_q1000000_h0_dense_g1_j0_s1_t1_mwarm,1000000,1000000,3,warm,1,0,1,0,1,1,70400000,0.066,80,24847482880,31059353600,bench_results/threadmix_sweep1_20260425T111354Z/10_mem_n1000000_q1000000_h0_dense_g1_j0_s1_t1_mwarm.csv,bench_results/threadmix_sweep1_20260425T111354Z/10_mem_n1000000_q1000000_h0_dense_g1_j0_s1_t1_mwarm.time.txt,56764,0,25449,0:00.21,ok
